Date,Open,High,Low,Close,Adj Close,Volume
2021-09-13,278.359985,280.839996,277.820007,279.920013,279.920013,4601900
2021-09-14,280.540009,280.779999,276.359985,277.200012,277.200012,5283200
2021-09-15,277.600006,279.059998,276.670013,278.179993,278.179993,3883500
2021-09-16,278.959991,279.209991,276.209991,277.510010,277.510010,4210000
2021-09-17,277.640015,281.000000,275.420013,276.760010,276.760010,15863300
2021-09-20,273.049988,274.910004,271.359985,274.200012,274.200012,7644000
2021-09-21,276.029999,276.220001,272.589996,273.179993,273.179993,4648400
2021-09-22,276.279999,276.609985,273.670013,274.070007,274.070007,5018400
2021-09-23,275.149994,279.700012,275.010010,278.119995,278.119995,4731600
2021-09-24,278.299988,279.130005,277.410004,277.869995,277.869995,3106100
2021-09-27,279.769989,280.630005,278.119995,279.720001,279.720001,3358400
2021-09-28,279.140015,281.380005,275.820007,276.790009,276.790009,4959500
2021-09-29,277.029999,278.779999,275.950012,277.290009,277.290009,2952000
2021-09-30,278.369995,278.369995,272.839996,272.940002,272.940002,5187900
2021-10-01,273.019989,277.510010,272.220001,275.709991,275.709991,3950700
2021-10-04,274.679993,276.959991,273.049988,273.640015,273.640015,4307000
2021-10-05,273.859985,279.670013,273.200012,278.049988,278.049988,5069400
2021-10-06,276.279999,280.390015,274.609985,280.220001,280.220001,3866100
2021-10-07,282.140015,284.989990,282.140015,282.950012,282.950012,3794200
2021-10-08,282.589996,284.720001,281.709991,284.140015,284.140015,2299900
2021-10-11,284.429993,285.609985,280.799988,280.929993,280.929993,2907900
2021-10-12,281.459991,281.519989,278.209991,278.619995,278.619995,3770800
2021-10-13,278.470001,279.410004,275.549988,277.899994,277.899994,3311400
2021-10-14,280.809998,282.380005,279.299988,281.640015,281.640015,3646400
2021-10-15,283.940002,284.970001,282.269989,284.209991,284.209991,4313700
2021-10-18,282.829987,283.510010,281.570007,282.589996,282.589996,3551500
2021-10-19,283.600006,285.149994,283.049988,284.829987,284.829987,2682700
2021-10-20,284.339996,287.700012,284.320007,287.489990,287.489990,3147600
2021-10-21,286.989990,287.279999,285.250000,286.820007,286.820007,2488800
2021-10-22,287.660004,289.799988,286.239990,289.239990,289.239990,3406500
2021-10-25,289.700012,290.470001,287.600006,290.260010,290.260010,3142900
2021-10-26,290.649994,292.220001,290.299988,290.850006,290.850006,3872300
2021-10-27,290.850006,290.950012,287.640015,287.779999,287.779999,3691500
2021-10-28,288.209991,289.859985,287.200012,289.720001,289.720001,3300100
2021-10-29,288.809998,290.000000,286.739990,287.010010,287.010010,4420300
2021-11-01,288.049988,288.420013,285.619995,286.239990,286.239990,2889500
2021-11-02,286.609985,288.500000,285.220001,287.929993,287.929993,3838300
2021-11-03,287.209991,288.880005,286.130005,288.720001,288.720001,2773100
2021-11-04,289.130005,289.130005,285.250000,287.690002,287.690002,3426300
2021-11-05,288.829987,290.700012,286.820007,287.880005,287.880005,3581100
2021-11-08,290.000000,295.649994,288.609985,288.799988,288.799988,4721000
2021-11-09,288.790009,288.989990,285.299988,286.350006,286.350006,3587200
2021-11-10,286.489990,287.239990,284.519989,285.320007,285.320007,3421700
2021-11-11,286.500000,287.070007,284.250000,284.649994,284.649994,2861000
2021-11-12,284.880005,286.100006,283.799988,285.989990,285.989990,2917000
2021-11-15,286.600006,286.989990,284.239990,284.670013,284.670013,3217300
2021-11-16,284.470001,285.160004,283.119995,283.359985,283.359985,4204200
2021-11-17,283.119995,283.119995,280.899994,281.589996,281.589996,3740800
2021-11-18,281.100006,281.750000,279.250000,280.630005,280.630005,3338000
2021-11-19,280.959991,280.970001,278.010010,279.989990,279.989990,4529200
2021-11-22,280.730011,286.440002,280.010010,284.970001,284.970001,5036000
2021-11-23,285.149994,288.730011,285.049988,288.559998,288.559998,4490100
2021-11-24,287.440002,288.320007,286.089996,287.279999,287.279999,4924100
2021-11-26,280.279999,284.709991,279.760010,283.089996,283.089996,4440700
2021-11-29,284.000000,284.980011,281.420013,282.119995,282.119995,5390900
2021-11-30,279.940002,280.200012,275.890015,276.690002,276.690002,9925300
2021-12-01,279.540009,281.720001,274.790009,275.000000,275.000000,5165100
2021-12-02,276.679993,280.369995,275.290009,279.089996,279.089996,4924800
2021-12-03,278.709991,279.970001,275.269989,277.429993,277.429993,5925000
2021-12-06,278.730011,283.170013,278.730011,281.380005,281.380005,5524200
2021-12-07,282.420013,285.410004,282.119995,284.970001,284.970001,5766000
2021-12-08,284.970001,285.970001,282.279999,283.720001,283.720001,3255700
2021-12-09,283.769989,284.950012,281.779999,284.519989,284.519989,3445500
2021-12-10,285.489990,288.500000,284.230011,288.230011,288.230011,4109800
2021-12-13,288.500000,291.579987,285.839996,290.010010,290.010010,4887500
2021-12-14,289.670013,296.410004,289.670013,295.029999,295.029999,5992200
2021-12-15,295.820007,296.500000,292.809998,294.579987,294.579987,5598200
2021-12-16,296.880005,301.579987,295.100006,300.170013,300.170013,6538100
2021-12-17,297.850006,298.000000,292.350006,293.660004,293.660004,12719500
2021-12-20,290.769989,291.579987,287.589996,289.609985,289.609985,5456200
2021-12-21,292.140015,295.410004,291.500000,293.239990,293.239990,3929100
2021-12-22,292.859985,294.570007,291.739990,294.410004,294.410004,2445600
2021-12-23,295.220001,296.779999,294.209991,294.489990,294.489990,2898200
2021-12-27,295.250000,296.690002,294.459991,296.670013,296.670013,2807200
2021-12-28,296.959991,299.790009,296.799988,298.290009,298.290009,2572900
2021-12-29,299.230011,300.649994,298.859985,299.459991,299.459991,2687300
2021-12-30,300.880005,301.649994,299.739990,299.980011,299.980011,2300000
2021-12-31,299.940002,300.690002,298.839996,299.000000,299.000000,2932200
2022-01-03,300.100006,301.299988,299.200012,300.790009,300.790009,3570300
2022-01-04,301.649994,309.209991,301.649994,308.529999,308.529999,6003300
2022-01-05,309.869995,314.480011,309.500000,309.920013,309.920013,6888300
2022-01-06,312.980011,314.109985,310.220001,313.220001,313.220001,5137200
2022-01-07,315.559998,320.200012,314.140015,319.779999,319.779999,5618300
2022-01-10,321.399994,322.100006,315.119995,318.929993,318.929993,5812300
2022-01-11,318.609985,320.000000,315.040009,319.799988,319.799988,4247900
2022-01-12,320.619995,321.049988,317.260010,320.390015,320.390015,3580400
2022-01-13,321.000000,323.470001,320.100006,321.260010,321.260010,4277900
2022-01-14,318.869995,324.399994,316.500000,324.130005,324.130005,4913700
2022-01-18,322.220001,323.290009,318.070007,320.290009,320.290009,5764200
2022-01-19,321.350006,321.350006,314.579987,314.750000,314.750000,6086400
2022-01-20,315.579987,317.179993,310.679993,311.010010,311.010010,4402300
2022-01-21,309.989990,311.019989,304.140015,305.220001,305.220001,6535400
2022-01-24,299.700012,304.730011,296.079987,303.730011,303.730011,8504200
2022-01-25,301.869995,309.130005,294.809998,307.190002,307.190002,6435400
2022-01-26,310.399994,313.329987,306.570007,309.260010,309.260010,6119400
2022-01-27,311.700012,315.920013,305.309998,307.670013,307.670013,5053200
2022-01-28,307.679993,313.290009,304.070007,312.899994,312.899994,5238200
2022-01-31,312.000000,313.299988,307.839996,313.019989,313.019989,5237600
2022-02-01,312.640015,314.600006,310.309998,313.959991,313.959991,4347200
2022-02-02,313.570007,320.160004,313.000000,319.600006,319.600006,4632200
2022-02-03,319.329987,319.649994,314.609985,315.230011,315.230011,4151500
2022-02-04,315.869995,317.839996,312.700012,314.989990,314.989990,3654700
2022-02-07,314.910004,318.220001,312.059998,316.510010,316.510010,3129100
2022-02-08,318.269989,322.649994,316.000000,321.440002,321.440002,6237800
2022-02-09,323.799988,325.630005,321.540009,322.380005,322.380005,3995900
2022-02-10,320.989990,322.459991,318.489990,319.850006,319.850006,7079700
2022-02-11,320.010010,323.119995,317.739990,319.140015,319.140015,7493400
2022-02-14,319.609985,320.429993,312.170013,314.279999,314.279999,8129100
2022-02-15,316.640015,317.940002,314.690002,316.200012,316.200012,3681400
2022-02-16,315.000000,316.899994,314.279999,315.649994,315.649994,3974100
2022-02-17,314.980011,315.440002,312.299988,313.549988,313.549988,3632400
2022-02-18,313.829987,315.679993,313.079987,314.799988,314.799988,4224500
2022-02-22,313.440002,315.429993,310.549988,314.160004,314.160004,5102000
2022-02-23,316.079987,316.799988,309.380005,309.989990,309.989990,5030600
2022-02-24,301.779999,308.809998,299.510010,308.279999,308.279999,8834700
2022-02-25,311.160004,321.429993,310.779999,319.239990,319.239990,7484400
2022-02-28,317.350006,322.000000,315.190002,321.450012,321.450012,7981000
2022-03-01,320.260010,321.200012,313.589996,316.839996,316.839996,6441400
2022-03-02,319.480011,325.750000,318.119995,323.640015,323.640015,4506100
2022-03-03,326.630005,329.470001,323.890015,327.739990,327.739990,4594300
2022-03-04,322.660004,325.609985,320.119995,325.339996,325.339996,4901900
2022-03-07,325.679993,326.440002,320.350006,322.720001,322.720001,5875800
2022-03-08,325.299988,327.290009,318.029999,318.519989,318.519989,7905000
2022-03-09,326.589996,327.470001,322.579987,325.399994,325.399994,5874500
2022-03-10,322.489990,325.700012,321.579987,325.299988,325.299988,3843600
2022-03-11,326.529999,331.489990,326.230011,326.600006,326.600006,5135700
2022-03-14,328.649994,333.480011,327.649994,329.980011,329.980011,5967200
2022-03-15,332.700012,334.579987,329.380005,332.549988,332.549988,6928300
2022-03-16,335.109985,337.339996,331.709991,336.109985,336.109985,5925800
2022-03-17,337.000000,345.130005,336.200012,344.970001,344.970001,7219800
2022-03-18,344.119995,346.869995,339.269989,342.410004,342.410004,8881500
2022-03-21,344.989990,351.209991,344.299988,349.660004,349.660004,6298300
2022-03-22,351.010010,354.950012,348.899994,349.929993,349.929993,5772700
2022-03-23,349.130005,350.790009,346.250000,348.160004,348.160004,5642400
2022-03-24,351.500000,352.570007,349.130005,352.369995,352.369995,3946300
2022-03-25,353.899994,359.010010,353.600006,358.760010,358.760010,4583000
2022-03-28,360.589996,361.380005,355.529999,359.570007,359.570007,4172900
2022-03-29,361.390015,362.100006,352.549988,355.119995,355.119995,5004800
2022-03-30,354.660004,357.850006,351.839996,357.609985,357.609985,3911200
2022-03-31,359.000000,360.000000,352.320007,352.910004,352.910004,6065400
2022-04-01,353.649994,354.579987,349.019989,351.880005,351.880005,4123800
2022-04-04,352.000000,352.239990,344.309998,345.429993,345.429993,5090000
2022-04-05,345.769989,349.440002,344.279999,344.799988,344.799988,4244700
2022-04-06,341.170013,346.970001,340.549988,344.709991,344.709991,4547400
2022-04-07,346.220001,347.670013,342.399994,346.510010,346.510010,3815700
2022-04-08,348.929993,353.850006,347.730011,353.100006,353.100006,4490500
2022-04-11,352.980011,354.329987,349.339996,352.019989,352.019989,3128900
2022-04-12,352.260010,354.000000,348.390015,349.739990,349.739990,3548800
2022-04-13,349.459991,350.720001,345.250000,346.220001,346.220001,3434200
2022-04-14,346.160004,347.559998,344.140015,344.329987,344.329987,3283500
2022-04-18,344.450012,347.190002,343.589996,346.649994,346.649994,2517100
2022-04-19,347.000000,349.130005,345.850006,348.500000,348.500000,3392000
2022-04-20,350.000000,350.589996,347.700012,348.820007,348.820007,3711200
2022-04-21,350.859985,350.859985,342.959991,343.600006,343.600006,4032100
2022-04-22,342.940002,343.209991,335.109985,335.559998,335.559998,4966500
2022-04-25,332.299988,337.850006,328.529999,336.950012,336.950012,5695100
2022-04-26,333.529999,337.390015,330.359985,330.649994,330.649994,4588900
2022-04-27,330.600006,333.140015,328.429993,329.579987,329.579987,3726700
2022-04-28,331.529999,332.059998,327.829987,331.269989,331.269989,3845800
2022-04-29,330.190002,330.640015,320.500000,322.829987,322.829987,5685200
2022-05-02,324.109985,324.369995,311.739990,318.190002,318.190002,6797200
2022-05-03,319.420013,323.579987,317.670013,318.989990,318.989990,3874700
2022-05-04,319.100006,327.279999,318.000000,326.799988,326.799988,4269600
2022-05-05,325.850006,325.850006,315.160004,318.679993,318.679993,5257600
2022-05-06,317.989990,320.369995,314.190002,318.880005,318.880005,4198800
2022-05-09,315.350006,316.920013,311.559998,312.959991,312.959991,4874400
2022-05-10,315.959991,318.109985,310.239990,312.529999,312.529999,4798400
2022-05-11,313.170013,317.549988,311.010010,311.540009,311.540009,4250700
2022-05-12,307.950012,309.070007,302.549988,308.059998,308.059998,5679800
2022-05-13,311.250000,312.470001,307.899994,310.359985,310.359985,3767500
2022-05-16,310.279999,311.950012,307.130005,309.290009,309.290009,3697600
2022-05-17,315.209991,315.440002,312.100006,314.600006,314.600006,4154200
2022-05-18,312.940002,314.170013,305.570007,306.640015,306.640015,4417900
2022-05-19,303.929993,306.309998,301.209991,304.149994,304.149994,4730100
2022-05-20,307.049988,307.459991,298.109985,304.049988,304.049988,5517600
2022-05-23,307.380005,312.440002,306.619995,310.200012,310.200012,4142100
2022-05-24,309.390015,310.309998,303.750000,309.170013,309.170013,3657600
2022-05-25,308.589996,310.989990,305.920013,308.640015,308.640015,3704800
2022-05-26,311.269989,314.390015,310.980011,312.500000,312.500000,4472000
2022-05-27,314.730011,319.239990,314.149994,319.109985,319.109985,4280100
2022-05-31,318.980011,318.980011,314.799988,315.980011,315.980011,5675800
2022-06-01,316.000000,316.790009,309.609985,312.209991,312.209991,3795700
2022-06-02,312.649994,315.089996,308.609985,314.950012,314.950012,3119300
2022-06-03,312.500000,313.799988,310.399994,310.940002,310.940002,2587500
2022-06-06,313.380005,315.779999,311.480011,312.149994,312.149994,2980900
2022-06-07,310.579987,313.790009,309.390015,313.649994,313.649994,2550700
2022-06-08,312.160004,312.799988,307.929993,308.739990,308.739990,2877400
2022-06-09,308.100006,308.380005,300.570007,300.799988,300.799988,3217400
2022-06-10,296.079987,298.000000,291.609985,291.709991,291.709991,5882600
2022-06-13,285.429993,287.429993,280.100006,281.559998,281.559998,7109100
2022-06-14,282.089996,283.959991,276.100006,277.640015,277.640015,5838100
2022-06-15,281.160004,282.500000,273.869995,278.929993,278.929993,5821200
2022-06-16,273.390015,273.399994,266.880005,268.559998,268.559998,7199200
2022-06-17,268.390015,270.500000,265.679993,268.079987,268.079987,11562000
2022-06-21,273.850006,273.980011,270.339996,271.769989,271.769989,4906700
2022-06-22,267.380005,273.399994,267.380005,269.790009,269.790009,4220700
2022-06-23,269.850006,270.709991,263.679993,267.519989,267.519989,4727400
2022-06-24,268.970001,279.670013,268.570007,278.279999,278.279999,6451900
2022-06-27,280.529999,282.029999,277.609985,278.399994,278.399994,4134800
2022-06-28,280.510010,282.450012,273.679993,273.859985,273.859985,3868000
2022-06-29,274.950012,275.940002,272.970001,273.489990,273.489990,2995900
2022-06-30,270.510010,274.920013,268.679993,273.019989,273.019989,4623500
2022-07-01,272.500000,278.399994,271.630005,277.500000,277.500000,3667300
2022-07-05,274.200012,275.859985,271.390015,275.690002,275.690002,3676900
2022-07-06,274.839996,277.510010,272.869995,275.649994,275.649994,3033900
2022-07-07,277.500000,279.589996,277.100006,279.279999,279.279999,3949700
2022-07-08,279.790009,282.609985,279.250000,280.829987,280.829987,2983400
2022-07-11,279.380005,281.459991,277.869995,278.510010,278.510010,2864400
2022-07-12,277.570007,282.179993,276.649994,277.279999,277.279999,3033000
2022-07-13,275.369995,280.089996,274.450012,277.470001,277.470001,4197400
2022-07-14,273.000000,275.350006,271.200012,274.410004,274.410004,3888500
2022-07-15,277.529999,280.000000,276.059998,278.480011,278.480011,4547400
2022-07-18,281.500000,281.500000,275.209991,276.260010,276.260010,3273800
